id,name,municipality,iata_code
331101,Base ULM Les Châteaux,,
331105,ZTN Air ULM,Boissey,
331137,Polminhac ULM,,
332530,Saint-Suffren Private Ultralight Airfield,"Lambesc, Bouches-du-Rhône",
332571,Aérodrome d'Aynac ULM,Aynac,
333578,Col de Bacchus Airstrip,Col de Bacchus,
333580,Aérodrome de Loupiac,Loupiac,
333581,Aérodrome de Lacave le Frau,Lacave,
333583,Aérodrome de Peyrillac,Peyrillac,
333744,Centre Hospitalier de Rambouillet,Rambouillet,
333778,Boucali Airbase,Boucau,
333882,St Laurent de la Salanque Airbase,Saint-Laurent-de-la-Salanque,
333883,Corneilla-la-Rivière Ultralight Airfield,"Corneilla-la-Rivière, Pyrénées-Orientales",
333884,Saint Génis Ultralight Airfield,"Saint-Génis-des-Fontaines, Pyrénées-Orientales",
333886,Sadournin Airfield,Sadournin,
333888,Larreule Ultralight Airfield,"Maubourguet, Hautes-Pyrénées",
333890,Sauveterre Airfield,Sauveterre,
333891,Sarriac Bigorre Airfield,Sarriac-Bigorre,
333894,Aérodrome de L'Isle-en-Dodon,L'Isle en Dodon,
333895,Vallon des Bergons,,
333900,Fabas Bordeneuve,Fabas,
333901,Torre-Blanc Llauro,,
333902,Super Bareges - Plateau de Monhaillat Altisurface,Bareges,
333904,Villeneuve du Latou Airfield,Villeneuve-du-Latou,
333916,Montpezat d'Agenais,Montpezat,
333918,Sarrat Ultralight Airfield,"Mazères, Ariège",
333919,Altiport d'Ustou,Pouech d'Ardio,
333923,Le Fousseret Ultralight Airfield,"Le Fousseret, Haute-Garonne",
333925,Aerodrome de Bois de la Pierre,Bois-de-la-Pierre,
333966,Aérodrome de Sabonnères,,
333969,Labastide-Saint-Sernin Ultralight Airfield,"Labastide-Saint-Sernin, Haute-Garonne",
333970,Marmouzet Airfield,Rieux-Volvestre,
333971,Le Tucoulet Ultralight Airfield,"Balesta, Haute-Garonne",
336353,Valberg Altisurface,"Péone, Alpes-Maritimes",
335360,Altisurface de Faucon,Chalancon,
335586,Helisudcorse,Porto Vecchio,
336355,Le Burgaud Ultralight Airfield,"Le Burgaud, Haute-Garonne",
337340,Bazas Cazats Airfield,Bazas,
337341,La Tranche-sur-Mer ULM,La Tranche-sur-Mer,
337372,Aérodrome du Girouard,Le Girouard,
